qn,ans
george glad you could make it son . hi doll .,lester this is my friend jill and this is johnny pope .
francesca ?,yes ! hi .
don t kid me . i m in no mood for it .,for once i m dead on the level crazy about you !
tell me .,i am not left handed either .
fucking chick s married .,what ?
i said i m not my sister .,i know that .
you mean the poor,no . the needy . us . cos we need this car !
see ? we re for real .,i m sorry it s just you hear stories .
got her mother s looks .,her mother s dead .
you do not .,it s what i do .
you don t know ?,that s why i m asking .
you said we could go to new york .,did not .
he don t tip ? you don t tip ? why ?,he don t believe in it .
he doesn t give a damn about me .,oh you re wrong . he told me
just think about it .,i ve got problems .
lions and tigers and bears !,oh my !
he should have kept his head tucked down .,shut up ! ! !
do you like it being pregnant ?,i do .
don t be ridiculous . she s only how old is she ?,fourteen harry .
hmmm . . .,looks like rain steed . . .
will you have a cigar ?,no thank you .
aaah . . . mother of jesus .,what is it ? your legs ? hands ?
really ? you sure ?,sure i m sure . what is this ?
why ?,you wish to meet max ? this is the price of admission .
yeah . . . freddy krueger .,freddy that s right . i liked that movie . it was scary .
how do you know ?,i don t know . i m just guessing .
. . . no ?,no ? huh ? yes of course ! !
so long suckers .,wh wh where ya going m m mac ?
if i send out the troops will you all calm down ?,yes ! yes ! we promise !
i lost them that s what happened .,how did they get away ?
let s turn on the radio .,radio ! what is radio ?
yeah .,that was weird . i meant good .
you heard me leave the table !,man i am out of here ! this family is so fucked !
where are you going diane ?,i m going home .
shh it s all right i ll be all right .,they shall not hurt you
thanks .,would you care to join me for a little refreshment ?
good for you .,he s a hairdresser .
now what ?,whatever you do just . . .don t stop .
gerron out of it you re only jealous cause you re old .,shurrup !
where are you going ?,alaska .
it s all right ! it isn t happening !,but father it is !
you see major you have nothing to worry about rick .,perhaps .
don t turn . i m counting the steps to the entrance .,these rooms are solid stone . they haven t changed .
objection !,sustained .
whatever you come recommended . we . . .,recommended ?
thanks yes i think we did .,one minute you people are children and the next you re getting tattooed .
nick he just came back .,from nam ?
and her . . . ?,took hours . she just wasn t sure about entering this world .
i want you here .,you re lying .
yes .,your name is al . . .
you have modest wants . i like that in a man .,and what do you want ?
you have to wash them .,they are washed .
popcorn ?,no thanks .
yes .,you want me to burn my book ?
what if it wasn t you that i came back to see ?,you just got lucky . d you eat yet ? come on .
okay . let s start with these strange powers of yours .,you think they re strange ?
is there any chance ?,i guess there s always a chance .
what do you want to hear ?,you pick it .
i ll be out in a minute .,that won t be necessary . i haven t much to say .
you should hit the sack too .,nah i ll stick it out for another hour or so .
when ?,just now .
two months .,why so briefly ?
i found that out .,we learn from life .
but you hate joey,now i do . back then was a different story .
no . just as if i d like to .,oh . well . i think that can be arranged .
here ! i ve got an order ! let me have . . .,stop her !
would you mind waiting for me in the visitor s gallery ?,n no . . .i mean . . .you bet .
no .,when did it start ?
but you already know what i m going to tell you .,i m not the one .
victor .,what ?
i knew you d come back .,i m a girl who keeps her promises .
you have any biscuits for sale ?,naw we don t have biscuits .
hey there . . .you with the stars in your eyes . . .,what s the matter with him ?
no . have you seen my glasses ?,where d you leave em ?
hey what s happened to you ?,nothing . why ?
i m not that sick .,i have a very low resistance .
is that the entire message ?,yes .
hey . nice tie .,don t get too attached .
i lost him ? i lost him ?,i can t tell you how sorry i am .
i m cool .,splash some water on your face . take a breather .
can i come over after jamie s asleep ?,my parents are going to come home early tonight .
your guess is as good as mine .,oh take it ! please take it !
what do you want me to do ?,i want to see the sun rise .
what s that big black scar on the ground ? like a fire .,oh you know how parties are . always some damage .
we will old fried we will .,sure do pack a mean wallop . . .let s go . . .
but mr . gittes .,sophie .
only me and mom . .,how about any guys on your staff ?
miss itsu . in here please .,you comin in to hold my hand ?
huh .,come here . i want to show you something .
grab your socks . . . .,you sure you know how to do this .
my soul was in danger i d fallen from grace,it s true i know her .
no .,are you going to graduate school ?
i see her for business .,you told me you weren t seeing her at u all u .
it had this red spot on its back .,green spot .
paul are you there ?,yes thank you mr . president .
but you re not alone .,good guess . there s a gun on you right now .
i was here the whole time .,you two better quit it .
it s not u you u it s . . .,no what is it ?
what do we do here david ?,sorry ?
what about ?,i didn t ask him .
or like maybe he was baby sitting a problem child for the navy .,i don t know i don t care .
fear is their greatest weapon .,i m not afraid of anything . . .
he has his homework to keep him occupied .,he s a fine boy mrs . benson .
everything is going to be okay frankie don t worry .,did my brother go back ?
are you drunk ?,no . open the door .
i thought you lived in chicago ?,i thought you were an editor not a reporter ?
that s ok .,when are you coming home ?
what s he talking about ?,let me go !
what are you still doing here randall ?,stopped by to see otto . say hello .
somethin i forgot to do . i ll be back .,what re you goin to do ?
should i have ?,think hard it ll come to you . . .
he s setting that play to music ?,yes .
who screamed ?,it s all right mr . mccleery .
leave it .,now hold up just a minute . let s be reasonable here .
it s a spice rack .,we desperately need a spice rack . desperately .
dude here .,okay vee proceed . but only if there is no funny stuff .
you had to kill heller ? !,who s heller ?
hey i can get you three hundred cash for two hours .,what ?
hello .,you disappeared .
why ?,if i told you you wouldn t believe me .
no way !,swear . olaf metal !
and no one s there now ?,i don t think so .
its too late .,you can still make a choice ! make the right one now !
what s that ?,what ?
thanks . people seem to be pretty hot over this imbecile story .,. . .i m sorry .
what did you just say ?,nothing . just had a little deja vu .
yeah .,yeah . that s swell . another waste of time .
so would i .,it s a bargain then . anything you want to know ?
tonight . let s get together .,okay .
someone stole my car .,grady .
nothing for you to worry about darling,pops
dispatch this is reilly .,go ahead .
it s the fire alarm . somebody pulled the fire alarm .,where s kumar ?
i m going in .,here goes nothing .
is there any more rice . . . ?,yes it s on the stove . . .
no !,liar !
he didn t recognize me .,it is his new partner that i m worried about .
hi walter . . .,what are you doing here so early ?
no i haven t seen him in a few weeks .,what happened ?
yes . we re in danger here . every moment we stay .,victor tell me why ! trust me !
hey i brought some friends . and some beer .,fine . welcome . come sit down .
minutes the television show ?,yes .
bye bye honey . see you tomorrow ?,yeah i ll be in .
yeah she won a fellowship .,good for her .
yes .,i d like to hear it . can you sing something ?
have you taken leave of your senses ?,i have . sit down over there .
what ?,you .
i m getting dressed .,you ve got three broken ribs man !
what ?,try to communicate with her somehow .
well i think that s perfectly understandable .,i ll tell you one thing though .
no i m actually writing for the pictures now,pictures ! jesus !
and what was that neighbor guy doing here ?,philip what are u you u doing here ?
. . .piece of shit was worth .,it won t even start half the time .
thanks . and what are,duh . tom cruise . risky business .
what s the matter ? !,nothin . i was just foolin around .
to go up .,to go up .
i ve never met anyone like you betty .,i know that s why we were meant to be together . . .
hey i thought you were gonna mention us upstairs .,i did .
i m wearing it .,i mean the other one !
loretta ?,what !
by the sacred memory . . .,of siegfried . . .
thank you very much .,all right all right don t mention it .
no trouble at all . hawkeye .,how did you get called that ?
tell me is that car parked all right ?,oh yes . that s fine .
you really think so ?,yes i do .
hello ?,abby . . . you all right ?
go on letty . i want to see it on you .,do you think i should ?
humor me . eat it anyway .,why are you here ?
cuz you re a cop .,not no more .
like the last time .,i wasn t finished .
yes yes spock . . .,the ship . . . out of danger . . . ?
the sheriffs will take over when they get here .,but they re not here yet . tell me about u you u .
who knows . plato ?,what ?
i don t like this this . . .,why don t you shut up and fuck me professor .
yeah .,yeah ?
no we don t .,well now we ve got to figure that out first don t we ?
are you a physician ?,how is it you come to be here ?
what do you do ?,i do different things on different days .
your pain runs deep .,what do you know of my pain ?
all you want is a phone number ?,well i know you re busy . . .
ever see one of these before ?,too important for telephone . comedian dr . manhattan . all linked up .
i can wait around if you want .,no . that s cool man .
what is this ?,put it down i said ! it s nothing for you .
oh dana it s you .,hi louis .
he deals in pain .,is kristen safe ?
how is everything ?,everything s good . everything s fine .
wanna hear a dirty joke ?,. . .yes
oh sure .,how about hand to hand combat ?
we ve been better .,what s going on ?
fine .,what do you think i should do ?
hi josh .,hi .
you bet i did .,congratulations .
they are . . . sinister . they want to kill me .,that sounds charming . what are you planning to do tomorrow ?
we re losing the war aren t we .,it kind of looks that way .
you believe me don t cha ?,shut up and start the car .
i am butcher .,you re a butcher ? what do you use pig intestines for ?
ah . . . sun tan lotion . any shops nearby ?,must be . trubshaw s busy . i ll send mother . . .
bruce wayne . i ve read your work . i quite like it .,great . give me a grant .
uh huh i wanna be a writer .,vada this is an adult writing class .
hi i m max cherry . your bail bondsman .,the day you got me out of jail ?
it had a hole in the floor . where are we going ?,where are you taking me ?
very kind of you sir . thank you very much .,i understand that you had a rather unfortunate encounter with the police tonight .
eleven fifteen .,ok . mark that down .
you do act different .,i don t care .
don t take it personally .,how should i take it ?
how long they been livin here ?,you hear that question garcia ?
what ?,get everyone down in the basement .
remember ?,no ! that was years ago ! i ve lived years since then .
oh yes mr . preysing ?,sit here . cognac for you ?
yeah .,good . tomorrow after the party .
thank you .,what name ?
we re ready sir .,thank you scotty . stand by .
totally . i checked all the rooms and closets . . .,nothing s missing ?
they want more time to think about investing .,goddamnit .
luke can i talk to you ?,sure .
it is ?,the wilder paul is tonight the calmer he ll be tomorrow .
beat listen i hate to bother you . . .,then don t .
i don t feel much .,good .
page a hundred and twelve .,bye .
why haven t they killed us ! ?,i don t know !
that ought to be about the end of that .,yup .
with a with a stranger ? with a,just think about it . that s all i ask .
no .,just . . .try and go back to sleep .
why don t you get to the point .,my point well . . .
she s doing this to get back at me,for what ?
i see do as i say not as i do .,yes .
santos . . . no . . . please santos . . .,you re not tellin me that you re sweet on him ?
well go get it then .,where is it ?
do you know where he got the dumper ?,he never told me .
get out of here !,what are my orders sir ?
you went out last night didn t you joe ?,why do you say that ?
yeah .,say hi to naomi .
how do we look ?,you guys always look great .
yah thanks stan it s a pretty,what kind of finder s fee were you looking for ?
there is no letter .,we ll get a handwriting expert to what !
interesting .,i see .
when ?,next week .
you won t believe it ! guess !,where ?
what s this diz ?,that old standing offer from diz moore poet of washington correspondents .
yes .,i guess you ve seen some bad things .
how were things between you and frank ?,he was all right to me .
oh come on !,what about keeping an open mind ?
coffee ? milk ? or how about a little cocoa ?,why do you do this to me every morning ?
say with them fellows it s no trick to get circulation .,you re right mr . bernstein .
so ? the man got silver china rugs,might be all right .
now go find me a big stick .,in the desert ? what for ?
how d you make out on the twenty seventh floor ?,great . look have you seen the music man ?
how was russia ?,cold .
wait .,wait for what ?
he brought a gun onto the pool deck .,what ?
what the hell are you doing in that trunk ? !,you didn t think i was gonna let you escape alone did you ?
recently then .,no not recently . i m sure of that .
mr . campbell ?,huh ?
you re kidding .,would you like me to change anything ?
what else is there to do ?,you could work out at the beach make a few bucks for school .
how long ?,as long as he s been here . . . .
did you go ?,yes . but he didn t show up .
no i really don t .,i think you do .
jean louis thank heavens ! do you have ! what s that ?,a man traded with me all those for only four .
yeah brothers are lined up at my locker .,i found you someone .
i go back to work tomorrow .,you talk them into it ?
what ?,look over there .
what do you see here ?,graffiti
why is this putz on the air . . .,. . . they re checking the ratings . . .uh . . .
i know it well .,as i recall you ve robbed it before .
no .,is something wrong ?
thomas franklin an attorney .,an attorney ?
it doesn t matter .,no . i want to know .
. . . .we landing ?,tell me again .
o reilly what is it ? there aren t more choppers coming ?,i m afraid so colonel .
it couldn t be me . i hardly knew him .,i ll just set it right here .
i don t know .,sounds like you were in an accident or something .
come on .,where ?
what s the matter ?,it s that jerk walter .
we used pull .,you know you have to . sometimes you just have to toby .
you look so happy how long have you been married ?,forty seven years .
yes that would be great . are you her for the convention ?,do i look that obvious ? my name s paul .
what do you think bodyguards are for ?,what do they mean by this cinderella man !
why ?,because .
you don t seem excited my little muffin .,should i be ?
sid i ll come with you .,but who would operate your camera ?
my job .,fine just stay out of my way . hit it .
that s lednov ! we come along here .,and meet him there .
do you . . . remember me ?,i ve seen you before . your picture . . .
and stop with the directions .,make a u and go back .
you don t love me .,stop .
not at all . the place is totally deserted .,good . it s supposed to be .
then he isn t embezzling either is he ?,why would he ? his parents are rich .
three ways i figured .,no .
really . how wonderful for you .,yes . it was actually .
what ?,parked outside ?
well some of his throat was there .,physician heal thyself .
i know mom .,you know everything don t you ?
government .,why ain t they more like it ?
one in six . where s the girl ?,officer white put down that weapon and
how were you paid ?,i was given meals and a home . . .
should i . . .,just a two second dissolve .
who ?,merrick . . .
and get someone to help around the house .,yup .
you want to be a good detective ?,yes sir .
what s wrong ?,my signal s fading .
hey sonny ! i m watchin it on tv !,what about the kids ?
i know what happened .,i bet you fucking know !
i need someone with your kind of background .,my kind of background ?
anything wrong ?,no no .
i don t want to get in trouble .,don t worry it s okay !
just cause you went to catholic school and wore a uniform .,i only went for my last two years .
hey man we re all sorry . . .,she knew she was gonna die .
you ll be there ?,eight a .m . flight .
why would i do that ?,because that s my name .
somebody has to .,yeah but why me ? what if the car doesn t stop ?
you got clicks anything ?,nah nuthin on my end
no we created the morlocks .,created ?
well many reasons actually . . .,tell me one ?
t .j . what re you doing ?,my first undercover assignment . i gotta look good right ?
ah mr bean . . .,excuse me .
that s quite a story . you know that don t you ?,yes .
thanks .,welcome howard .
i d forgotten that .,i went because you went . you smoked because i smoked .
what am i supposed to do seth ? he recognized us .,he didn t recognize shit .
i guess we re going to find out .,you rob an associate of mine . . . a friend and
since how long ?,since as long as we ve been keeping records . . .
of course where you been kid ?,you look great ! the uniform and everything !
just want to say good luck .,break a leg .
why have we stopped ?,lady patrizia !
any word on my dad ?,not yet but we re looking . if you need anything . . .
so what year are you going into ?,junior .
i m getting really tired of your bullshit .,my what ?
used to what ?,i m different .
she tryin to work your ass against me ain t she ?,yep .
what now ?,hang on . i have to leave a message .
harry ?,it s all right . it s not hurting . . .
give us time harold to adjust to your being alive .,you were well adjusted to my being dead ?
listen have i ever done anything really stupid ?,no .
you the new guy ?,so they tell me . . .
don ? are you in with them ?,no . but you re in very big trouble .
its muscles are locked .,oh jesus ! !
of course . how much ?,five full nights . . . days too ?
yes it ll be a very interesting experiment .,to make a gentleman out of a tramp ?
come in joe i want to thank you okay bill ?,sure .
help me mom . help .,soon .
actually this hasn t happened to me in some time .,when was the last time ?
i have no idea . how much do you want ?,i want to know what you re worth . over ten million ?
sure . it s fine .,no we have to do it . but later allright ?
well . . . beat let me know how your search turns out .,beat we will .
no .,shall we be all right ?
hello ?,hello . is claudia here ?
hey,what ?
she s crying .,no she s not .
i would think so sir . he s on the fleet general staff .,then to whom do you report directly regarding genesis ?
oh we gonna be friends now ?,what do you know about dating a single mother ?
idle hands the devil s workshop .,there s food in the fridge . i won t be long .
crimson !,correct ! good night .
robert ?,what ?
thanks . always wanted to do that .,yeah well i figure these are unusual circumstances .
seems like it .,put the girl on .
that s not how it goes .,yes i think so .
yeah .,why d you move all the furniture around ?
cool .,cool .
it was such a long time ago .,still
i say a lot of things .,and like a fool i believe it .
you better take powell and carney with you,the frogmen ?
you re all right ! where is he ?,get me out !
yeah well schneider s got a stick up his ass today .,schneider s always got a stick up his ass .
we could steal one of the choppers .,i looked . suspicious bastards got them all locked up .
you want a hit ?,no . i m good .
why do you have to see him ?,well i said i might marry him .
is anyone there ?,look .
do you have any brothers or sisters ?,yes .
may i see your license .,of course officer .
and d brooke is obviously hiding something .,but maybe it s not what you think .
flares ?,absolutely .
next time bet with your own kind .,the number was i bet it combination .
you look way pretty kim .,i know . i like your little outfit .
i made you these for the trip . they re marshmallow rice squares .,thanks . i thought you weren t gonna . . .
captain that was all true about the rats and chocolate and stuff ?,sure .
and she has . . . ?,video .
the sunrise ? what for ?,jeez what do you think ? to see it !
look at her .,she don t look jewish .
you mean did i write it before my parents died ?,yes .
right the big one oh .,but i ll take a rain check . . .
the man downstairs said number,no !
see ?,life is crushing in on me .
two at a time ?,my brother and i . one each .
opening night lillian .,who the hell cares ?
are you busy on friday ?,yeah i have to help my father .
listen to what i say,when you make sense i ll listen .
the door was unlocked .,lock s busted .
prison ?,i was the warden ?
wha ?,open the door !
was i in an accident ?,no mr . lounds . you ll be just fine .
hi mom .,hi mrs . sutphin .
i left him hanging around the american express .,come on i ve got something that stings like crazy .
what s the matter ?,i slip my disc again . . . oh got damn .
yes sir .,have you been checked out ?
we do ?,yes .
don t say okay diz . say you think it s beautiful .,okay i mean
you do you love me ?,do i love you ?
you hope .,in any event i will not beg for mercy .
leave him alone peter . he s in love .,that true fergus ? you in love ?
chip honey ?,thanks mom .
like recognizes like . i m pretty tough myself .,you me and white huh ?
i said great . . .,oh yeah i can tell you really love it !
we know one thing . that suspect was not mrs . peel .,so you say . . .
that right ?,you can trust him . . .
alright i ll talk to her,she s waiting in the conference room .
up front ?,half now half later .
great . good . content . . .,oh . how come ?
why don t you ask them ?,already did . he s the perfect suspect don t you think ?
get that doctor .,no doctor !
you did all this for me ?,most of it . i just hate to see you in this situation .
not now donnie . it isn t a good time .,then when ? i have to talk to you .
put your shoulders back .,what ?
should we bring the police into this ?,no not yet .
yeah great .,i heard about the kentucky gag order . . .
is it safe ?,absolutely .
speak .,he s landing . he s got a suitcase on wheels .
five this week how many the week before ?,you re as bad as my father .
when are you going to call them ?,about what ?
gosh what was everybody talking about ?,don t ask me .
and what do you think you will find in another land ?,maybe myself .
doc . . .,i see it . . .
thats totally see through . . .,merry christmas . . .
then why are you shaking ?,i don t know . i m happy .
oh i suppose you is a doctor homer ?,almost .
i can t take this .,ben . this is business . just work .
it s ichiro . ich .,leave the rice cake outside and go home !
so how are you ?,i m okay .
you tell them the tale .,what do you want ? an apology ?
where s kader ?,with the others . they are trying to stop the people .
i don t have to ask if you can feel that .,goddamn it . i want louis .
hear this now i will come for you .,but how can you be sure ?
you didn t ?,oh yes .
say it .,i was her doctor .
maybe .,you always throw the best dinner parties letty .
no big buildings like in new orleans .,whattaya do there ?
and the one driving the other car ?,what re you talking about ?
who ?,doctor david ravell .
it s just you and me then .,come here might as well fix that arm .
remember what i said you can t . . .,trust me .
what do you mean sorry ?,you re not going to bring anybody up to my apartment .
what ma ?,she looks thirty five forty . she didn t look italian to me .
you holding up alright ?,fine . i m fine .
when ?,late summer .
i ve seen this before .,so have i .
it s an open ticket . i can go anywhere up to .,so ?
hi . . .,hi . . . am i late ?
fine looking army .,we march on castle couer de noir within the hour .
say again sir ?,you heard me . move on .
hey !,you don t want this .
looks like you fingered the wrong guy . . . again .,who are you ?
i don t know what to say . . .,you could tell me where you were last night .
andy !,serafine ? is that you ? what s going on ?
naw i . . . executive sales manager .,well you can help me . my name s marge gunderson
craig this roach . roach this is my cousin craig .,what up bro ?
you don t believe in it .,as a matter of fact i m a huge fan .
how about taxes mr . chance surely you must have paid taxes ?,no .
and what do you want out of this ?,a peaceful and prosperous retirement .
a wonderful idea ! radio or records ?,not radio . let s have music that s just for ourselves .
did we just u hit u something ?,i don t think so .
where are you . . .al ?,you re not gonna believe this . . .
yes .,move him .
how long have you been in alaska ?,i don t remember . is that what you wanted to ask me ?
okay . that s good . i just wanted to make sure .,good luck tracy .
quite an achievement . . .,what s your name ?
i could see she likes you .,yeah sure .
i m okay honey i m okay . are you alright ?,what s going on tom ? what happened ?
i still haven t made up my mind yet .,what s to think about ?
oh that s very unusual .,i think it s the food of the future .
where the hell you goin ?,i m going with you .
do you remember ?,no . . . i don t . why ?
i can t u bring u the ghosts . they re not here !,otho could you actually . . . do something with them ?
until a minute ago .,what does that mean ?
tell him i want to give him his money .,why ?
he sees himself in me ! romeo montague a young man of verona .,verona again .
no i m leavin this mornin back up to brainerd .,well i m sorry i won t see ya .
it may have happened but not the way you said .,you think i wouldn t remember a thing like that ?
where are you staying ? the holiday inn ?,yes ! yes ! the holiday inn ! that s exactly right !
what are you doing ?,nothing .
listen hillbilly you are a cunt hair away from cowboy heaven .,ain t no thing but a chicken wing buttercup .
where you know amanda from ?,jus from around the way .
well . . . the red bra .,okay .
and who does friedman work for ?,the company . we all work for the company .
yeah .,would you like marry him ?
i am all attention .,he requests your presence once again as part of . . .
uhura i thought you were on leave .,and i thought we were supposed to be going together .
are you ?,what do you think ?
it s always in the more gifted of the three .,which one is that ?
am i really so deeply repugnant ?,yes .
you ll lose .,you wanted smaller .
i m selling this place . i want out of this hell hole !,could i like . . .oh wow . . .like uh . . .
i don t know how .,you have the power . u will it u .
oh we ain t got a barrel of money .,maybe we re ragged and funny .
angela ?,yes ?
my brother frank .,is he staying the night ?
you re going to miss the top ten .,coming .
it s okay . forget it .,but i would like to buy you drink .
how do you know ?,why would you be here ?
ah a philosopher .,shrink actually .
why that s terrific chauncey .,how do i know when it s ten o clock ?
can i ask you something ?,go ahead .
yes . . .fine .,and zoe ? how s zoe ?
i must say you look more your old self,you mean my other self . . .
do you always stutter ?,only when i m n n n
i see .,i m not even sure why .
we re being hailed .,on screen .
the coach from tennessee was there and he has me riding the bench .,you lost your head .
tomorrow ? oh but i want to go home now .,you ve had plenty of time already !
come on . inside .,okay . we ll go for a ride .
oh oh,oh are you are you all right ?
does jack like to jack off ?,sometimes when i m lonely .
good . good . we go motel .,no . we go .
where is she ? what is she doing ? how old,not so fast .
that s a freakin fact . least of all us .,just drive . he ll get out of our way .
i smiled at him .,watch out for the smile boys .
cigarette ?,no thanks .
sergeant major ? how is richie doing ? private graves ?,he ll live .
ah so you boy s have been snooping .,i was just looking in an old annual and . . .
where ?,up ahead !
this your stuff ?,that s it . my life .
that s very funny .,i love you so much .
rice is a bum .,you think everybody i fight is a bum .
all this goes on underhill s bill ?,i saved his life during the war .
bless me i thought it was a horse .,i am going to church .
come on you won t have to get near the water .,stop the car !
is that what you are angry about ?,talking to you is like riding on a merry go round .
say you got a lulu .,yeah . i better not get too close .
no first of all . i m not in a game mood .,you re interrupting a personal conversation .
what are you talking about ?,now that we re done with that infatuation forever .
pardon me counselor . before you continue . . .,no i want to have this marked mr .
i don t want to hurt you .,go on hit me !
i ve never seen your place .,exactly .
you see that ?,i saw it .
i think i d better keep it .,whatever you say .
do you know who i am mr . lounds ?,i don t want to know .
what happened ?,what difference does it make . . . ?
don t annoy me travis .,no sir .
grusinskaya,yes .
not now mom i m busy !,sid ! ! !
you think i m an idiot ? remember our wedding ?,it was implanted by the agency .
the weed .,but it s not his . how can they arrest future man ?
you ever fuck a jewish girl ?,what ? ? ! ?
yes . did you eat ?,i love you .
afford it ?,have you ever been with a male band ?
we re square .,yes sir .
life is good .,speak it like it s real . matthew .
delbert seems to enter twice . without leaving the first time .,let s get him in here .
i mean you re supposed to be backing me up right ?,no . we are not supposed to be backing you up .
. . . mr . president how good to see you .,it s so good to see you too ben you look terrific !
yes chuck ?,come to the office please .
i didn t ask george to invite you .,then who did ?
well think about it . isn t it possible ?,yes . i suppose it s possible .
i thought you hated torah .,that doesn t mean i don t like hearing it .
where are they ? do you see them ?,yes !
it couldn t have been earlier ?,no . it wasn t earlier because . . .
she wants her money back .,we re going to speak to her .
i said i ain t got you . . .,i ain t got you .
what kind of uh . . . music do you like ?,i like jazz . . .
and . . .your friend ?,she s left .
hey what s going on ?,nothing . what you want ?
found ? where ?,somewhere .
. . .stanley moss . . .,days and we bring it back home . . . .
how s david ? how s david ? he s terrific carl .,helena
that s not an answer .,it s not my taste .
you didn t tell her !,we should leave the past alone .
and you don t ?,he leads i follow .
have it your way mr . venkman .,hey ! make yourself useful ! go save a tree !
what re you talking about ?,what kind of man are you ? are you a good man ?
you think they ll ever find him ?,i don t know bobby . i m inclined to doubt it .
what s the matter with you ? do i look gay to you ?,do i look gay to you ? relax .
what did you say ?,you re not a team player .
it s only been a week . keep sending him up .,i ve seen this before .
dan keeping you up again ? put a lock on that window girl .,no the dan part was nice . . .
and how long will you be away ?,four or five days .
your ego is colossal .,yeah . yeah not bad . how s your s ?
what time is it ?,two thirty .
right . seven . christ thats a long time isnt it ?,not for a dog .
just after leland street .,what s that then ?
i think you have your answer .,war it is .
hey ! you there !,you want something old man ?
you think he s too old for me ?,jerry ! you can t be serious !
mr . clarendon have you ever seen this before ?,i m sorry inspector i don t know much about . .
they re gonna rape the maid aren t they .,from the looks of those boys the ripper too .
sorry . you okay ?,i m fine .
we re all square now harry . right ?,all square doc .
what s the thing with morse code . . .,oh you re gonna love this
mother please . . .,and then what ? after supper music ? whispers ?
joe listen,don t joe me .
i think everything s okay here .,i could check your prostate .
income tax evasion ?,murder ?
damn it .,what s the matter ?
well any time i can do anything for you,thanks .
come out come out wherever you are !,shut up . are you nuts ?
okay so far .,how deep s the drop off here ?
what s an associate producer credit ?,it s what you give to your secretary instead of a raise .
on three ? you call it .,here it come one two
it s great when people who work together can become real friends .,isn t it ?
all i want is one more week .,why ? you ve done nothing to show any progress .
can i drop you anywhere harold ?,no thank you . i have my car .
can i talk here ? let me talk .,you know all you know is what s good for you .
over the water department or over you ?,not over me . why would they have a falling out over me ?
you didn t shoot !,neither did you !
you ll feel different when you see my picture in the papers .,i feel different right now .
now that s a really big house .,jesus look at that wall . place almost looks like a prison .
why ?,cause i don t just stick my dick in anything .
i m around you and i like you don t i ?,yeah .
you know that s not true .,in two months no one s going to even remember this happened .
where ?,u what u ! ?
just now . . .,yes .
what ?,will you be my wife ?
how did you get here ? did you play the game ? !,yes . . .
tonight . just to test out the phone lines and all .,okay .
what happens to the schedule ?,we must follow it .
you re such an incredible woman .,i couldn t have done it without you charles .
stop swinging the bat .,stay away from me .
who s this bruce ? are you trying to make me jealous ?,i m serious bruce . we have to !
so was i .,so what does that make me ? your buddy ?
i know a secret .,what s that ?
alone ?,how big can it be ?
who ?,the girl i remind you of .
hey ray . i ve been looking for you .,here i am .
no .,yes you are . go you can do this .
nobody s that unhappy .,maybe i want to die . don t you want me to die ?
who s that ?,the guy who bought you that ring .
i m pleased you re not troubled by the prospect . . .,do as you wish with my body you ll never possess my soul !
beat how do you know ?,the jacket .
oh man ! hey you still going out with her ?,no she s getting married .
this is what is this ?,it s a folk song .
so ? tell me how come they call you freb anyways ?,c mon man . . .
okay that s no problem .,that s exactly what you said last week .
the only word for this is trans plendid . it s trans plendid .,i can think of another word .
don t ! ! !,uh oh . . .
all right forget this filth . continue about your friend .,well he s not exactly a friend .
thanks much . you know what s nice about you valerie ?,what ?
so then this isn t crazy . it s a sure bet .,well . . .
that guy s a jerk . i did you a favor .,i ll do the same for you sometime .
you re leading again .,sorry .
just somebody delivering a bottle of champagne . like some ?,would you mind opening the window ?
hey there you are .,yep .
when you re done can you make sure she brushes her teeth ?,are you okay ?
only one thing to do hank . drop the whole business quickly .,how ?
what do i say ?,say what you were supposed to say in the cafeteria .
you seem hell bent on blaming yourself ethan .,who else is left ?
when was the last time ?,why ?
get rid of him ?,yes . . . get rid of him .
or just knock us over . look use the bomb !,it s out last one . we can t kill them all .
shut up .,it s obvious you haven t raped anyone in your life .
let em kill each other off ! why should we care ?,there won t be any way to stay out of it .
do you like talk like that ?,no .
you were great .,no i blew it i blew it with lester .
somebody else is going to get it .,i don t care .
tomorrow i go with vince .,hunt with vince ?
who are you protecting then ?,who says that i m protecting anyone ?
diamonds all over .,well have you found it ?
they might think i was running away from something .,possibly miss .
pacifica california it s a coastal city .,oh a coastal city . that s good .
you know my name ?,i do . you seek the holy grail .
by killing them ?,by freeing them .
geez you okay margie ?,i m fine it s just morning sickness .
hi . huey isn t it ?,right on . you fly ?
it just is .,how long have you been with them ?
it s the same thing with veronica .,leave her out of this .
i ve seen that before . never had anyone actually do it .,do what ? what d you do ?
where are you going ?,corleone .
they ve put you up to this haven t they ?,you ought to court the doctor s favor not his contempt .
tomorrow afternoon . usual set up .,who wrote it ?
no not at all .,who knows you have these ?
you mean you had a bad dream .,no he was real . like on tv .
you sure . . . ?,it s the next best thing to being there right . . . ?
we can digest our,okay . yeah .
that yours mrs . mckenna ?,yes . yes it is .
i know .,it s not your fault .
yup .,just like our moms and teachers !
run !,i can t . . . i can t .
yes . . .,great . now what do you want to do about it ?
no foolin any suspect ?,do you know george winton ?
insane . . . ?,who knows ? if dr . darling is right you should watch out .
what are you saying son ?,it appears to be in the shape of bob s big boy sir .
start a band ?,my father wouldn t approve of that that
what ? !,he s working backwards too . let s do number five ?
there s something i think we need to talk about .,what ?
